model_id,label_id,precision_score,recall_score,f1_score,support
1,1,0.9999581358557582,0.9999537293076362,0.9999559325768426,453851.0
1,2,0.9974424552429668,0.9923664122137404,0.9948979591836736,393.0
1,3,0.9999609405515194,0.9999609405515194,0.9999609405515194,25602.0
1,4,1.0,0.999028182701652,0.9995138551288284,2058.0
1,5,0.999653642169066,0.9999133880432194,0.9997834982355106,46183.0
1,6,1.0,0.9945454545454544,0.9972652689152234,1100.0
1,7,1.0,0.993960310612597,0.9969710082215492,1159.0
1,8,0.9993702770780856,1.0,0.9996850393700788,1587.0
1,9,1.0,1.0,1.0,1.0
1,10,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
1,11,0.9999685376289956,0.9999056188258982,0.9999370772376908,31786.0
1,12,0.9991525423728812,1.0,0.999576091564222,1179.0
1,13,0.9900662251655628,0.9933554817275748,0.9917081260364844,301.0
1,14,0.5714285714285714,1.0,0.7272727272727273,4.0
1,15,0.962406015037594,0.9846153846153848,0.973384030418251,130.0
3,1,0.8645073561822703,0.4580688375700395,0.5988371506879303,453851.0
3,2,7.82258379942895e-06,0.0025445292620865,1.5597217456405777e-05,393.0
3,3,0.0,0.0,0.0,25602.0
3,4,0.0,0.0,0.0,2058.0
3,5,0.0090270330831159,0.0122122859060693,0.0103808138999834,46183.0
3,6,0.0,0.0,0.0,1100.0
3,7,0.0,0.0,0.0,1159.0
3,8,0.9812967581047382,0.4959042218021424,0.6588530766010883,1587.0
3,9,0.0,0.0,0.0,1.0
3,10,0.0,0.0,0.0,7.0
3,11,0.0094195085967201,0.0104448499339331,0.0099057166726339,31786.0
3,12,0.3742177722152691,0.5072094995759118,0.4306805905653583,1179.0
3,13,0.0006783666681255,0.2059800664451827,0.0013522797910509,301.0
3,14,0.0,0.0,0.0,4.0
3,15,0.0,0.0,0.0,130.0
